"","Gene.name","alpha_pyr","beta_pyr","lambda1_pyr","lambda2_pyr","MCpval_pyr","on_state_freq_pyr","on_state_pyr","total_cells_pyr","CellType_pyr","MEAN_pyr","MODE_pyr","MEDIAN_pyr","VAR_pyr","alpha_fs","beta_fs","lambda1_fs","lambda2_fs","MCpval_fs","on_state_freq_fs","on_state_fs","total_cells_fs","CellType_fs","MEAN_fs","MODE_fs","MEDIAN_fs","VAR_fs","MODE_ratio","alpha_ratio","beta_ratio","MEAN_ratio","direction_alpha","direction_beta"
"2537","Wdtc1",0.095365199643826,22.5579608521195,1519.63716537424,0.631078130908921,0.215,32.2033898305085,19,59,"Pyramidal",12.8293167747191,0.780231555584406,0.959993514775164,976.314552659192,0.0544045780676419,1.68475359918062,153.883147456317,0.0592920223923948,0.747,24,6,25,"Fast-spiking",1.28910197154682,0.280095995126456,0.374128419079796,4.5818261235804,0.358990857421372,0.57048670029355,0.0746855449490827,0.100480952663595,"",""
"2538","Whsc1",0.0532421062604985,0.880838750730022,1350.61716638372,1.0064000814382,0.993,54.2372881355932,32,59,"Pyramidal",152.859918155454,10.2756694994138,10.6232992501511,89242.2113756939,0.0197639526679385,0.414948243802361,2189.52784400083,0.822552759702397,1,32,8,25,"Fast-spiking",388.719355164846,23.6295846589158,31.9716593408768,609921.924179178,2.29956643314226,0.371209068462451,0.471083093765414,2.54297764813357,"",""
"2539","Wnk1",0.0744390467286891,0.743939700091959,709.149266477241,0.984014224084443,0.335,47.4576271186441,28,59,"Pyramidal",183.662422794171,10.5196168785059,4.4158131565608,107112.00625196,0.08147180922076,2.06250007477341,350.693699122687,1.6872729777158,0.907,52,13,25,"Fast-spiking",56.1219840741574,1.69810585991652,1.76602469002419,11876.3048471556,0.161422785594612,1.09447679411725,2.77240221824223,0.305571402251688,"",""
"2540","Wnk2",0.0990599813958194,71.5175196782257,1513.82756309829,1.97782376219955,0.151,44.0677966101695,26,59,"Pyramidal",13.9838468033435,0.633083185600543,0.932960737644547,1258.15419985906,0.035995340271826,0.783171977523802,41.563735344526,1.4777696712984,0.642,20,5,25,"Fast-spiking",13.5065664047906,0.842044042725438,1.32224841071798,783.052834829852,1.33006856267502,0.363369140238352,0.0109507709586054,0.965869162808708,"",""
"2541","Wnt3",0.108099081219591,4.42249373517477,59.8645187247997,1.39350176812004,0.682,44.0677966101695,26,59,"Pyramidal",4.93941115850746,0.5153883347808,1.07776020963556,134.645544927818,0.280895216999866,0.552440683540403,19.7074136076359,0.73414444331268,0.905,80,20,25,"Fast-spiking",5.83896496657654,1.48867224883488,3.81799680091829,32.2753473013906,2.88844769734269,2.59849772847985,0.124916103135773,1.18211762074508,"",""
"2542","Wnt4",0.0328137773576757,1.04835816982142,228.242928711247,1.27109329863653,0.725,37.2881355932203,22,59,"Pyramidal",29.849124624777,0.953039272990026,1.01722685924104,3924.1375767195,0.107944845006001,1.09574882054545,14.2279733625863,0.565470449139957,0.906,28,7,25,"Fast-spiking",2.55565494513196,1.03185477692622,1.18121881080659,8.73138639547331,1.08269911447502,3.28961959573822,1.04520463720152,0.0856190919250803,"",""
"2543","Wnt10a",1.76468214927882,212.324821279676,3788.87085730931,0.0465563070127653,0.092,20.3389830508475,12,59,"Pyramidal",20.6270330636174,0.515399641840348,0.640427771768085,4739.74126603412,0.0815564601367537,0.477323069214711,9.32116284130127,0.790835884307445,0.655,28,7,25,"Fast-spiking",4.29047464397761,2.18610211332301,2.55213066786651,11.8685224275474,4.24156700132162,0.046215948957201,0.00224807945834075,0.208002509655413,"Larger in Pyr","Larger in Pyr"
"2544","Wsb2",0.0660185593653834,1.02343166540368,2612.74366612249,1.19627202539206,0.777,50.8474576271186,30,59,"Pyramidal",376.374911009019,30.9625749373861,22.3644297507928,406480.135769892,0.0610076670341286,0.943734853764894,1569.91987568345,1.19286865738036,0.39,40,10,25,"Fast-spiking",381.166168480867,78.4389140859374,147.502892031014,287433.874203997,2.53334595861488,0.924098732546984,0.922127862237533,1.01273001289858,"",""
"2545","Xpa",0.221960649411279,1.81233713044502,51.6928528180806,1.06060734239765,0.983,59.3220338983051,35,59,"Pyramidal",10.4946905448724,3.41731909637991,5.82157340156451,169.076610535998,0.117915970447312,0.657067658686634,66.4266466342877,0.910884104358943,0.835,68,17,25,"Fast-spiking",13.9709509911156,2.87399774304763,4.30852358378752,373.271130973897,0.841009476139399,0.531247186202006,0.362552666194777,1.33123991902188,"",""
"2546","Xpo1",0.127159117379529,2.2279163829997,5115.70495801378,1.51251122217364,0.921,72.8813559322034,43,59,"Pyramidal",519.231588926301,16.9193033013362,7.82267825070977,1085758.9355182,0.0646991404016167,0.751251578686887,381.054083126323,0.869683814250752,0.47,52,13,25,"Fast-spiking",62.6827236150063,2.65390791653205,1.76602469002419,16624.3168093466,0.156856808419674,0.508804572844829,0.337199180552454,0.120722091937098,"",""
"2547","Xpo6",0.0344101897387941,0.492716437445082,170.748337605468,0.846119687417694,0.965,37.2881355932203,22,59,"Pyramidal",28.9553434522289,1.68176256557668,1.48030494587965,3320.4774193813,0.0319793872440686,0.432564861144485,461.678475694118,0.79579228361463,0.976,32,8,25,"Fast-spiking",105.115347602527,20.0597739177525,31.354944105465,25477.3582109233,11.927827583006,0.929358061865465,0.877918470484757,3.63025732283054,"",""
"2548","Xpo7",0.153797954575219,1.48748491556281,163.7549332921,1.16627241735723,0.806,96.6101694915254,57,59,"Pyramidal",21.616757572376,3.00305962230855,6.11452198260765,1302.9286322337,0.1179108894327,1.21587714140818,270.830716444101,1.0399445945843,0.79,92,23,25,"Fast-spiking",29.5971138860622,6.28183920867102,10.3334482407143,3163.80282469366,2.09181301696633,0.766660972562106,0.817404686721234,1.36917452985106,"",""
"2549","Yaf2",0.0333462170085049,0.56344789841706,2598.35988388853,0.911943965882432,0.8,50.8474576271186,30,59,"Pyramidal",287.994473842633,18.4645901119335,18.1331410205435,365861.362992881,0.02628770111264,0.547496445532494,1142.00518810534,1.16573852150372,0.913,28,7,25,"Fast-spiking",325.546037927596,8.58824325535613,3.30562102679494,289809.422588764,0.465119626446818,0.788326337165483,0.971689568939063,1.13038987722203,"",""
