"","X","Gene.name","alpha","beta","lambda1","lambda2","MCpval","on_state_freq","on_state","total_cells","CellType","MEAN","MODE","MEDIAN"
"104",104,"Add1",0.0545238787949701,1.75533776647207,409.014464610898,3.49914198730789,0.116,45.7627118644068,27,59,"Pyramidal",111.863400886126,2.00979660025524,0
"105",105,"Adh5",0.0234285622218154,1.25997072096768,28571.5680221666,0.120978502451199,0.957,32.2033898305085,19,59,"Pyramidal",270.225403991089,-1.2504928407898,0
"106",106,"Adnp",0.0744889860880142,1.32147303300125,2353.60362137384,1.10579747034005,0.927,59.3220338983051,35,59,"Pyramidal",254.169519880333,15.7860819095163,0.315806932813219
"107",107,"Adora1",0.127083150380454,1.97888724822742,4906.25831679536,1.20057643332283,0.795,57.6271186440678,34,59,"Pyramidal",574.995824753821,51.4845003331312,0.254267599585878
"108",108,"Adrb1",0.0679672253698242,1.02190421538293,154.340697339871,2.18840714679088,0.208,28.8135593220339,17,59,"Pyramidal",70.9762632887281,4.92801929835007,0
"109",109,"Adrbk1",0.0814420390288337,1.2247153692752,129.27292452853,3.1587484521903,0.488,33.8983050847458,20,59,"Pyramidal",79.4065281993819,4.47114475352251,0
"110",110,"Adrbk2",0.0826159096014816,2.04964510705589,3850.3840962295,1.07698116948213,0.666,57.6271186440678,34,59,"Pyramidal",301.61080461576,32.3230958340899,1.56453565014195
"111",111,"Aes",0.0313774459297933,0.334940730217,691.125661278362,0.927605899208272,0.739,45.7627118644068,27,59,"Pyramidal",119.21542582603,14.1301808184419,0
"112",112,"Aff1",0.0437393216274314,5.7093369656166,260.892642255101,0.316824000235615,0.472,27.1186440677966,16,59,"Pyramidal",0.989419619602241,0.324606969997756,0
"113",113,"Agap2",0.114945199526687,2.86466092226676,99.1518571427136,0.827755646514484,0.447,50.8474576271186,30,59,"Pyramidal",5.83060992211282,0.701132777840742,0.0535060755761959
"114",114,"Agap3",0.0323481987612608,1.37845327527689,2483.51319653989,1.26332277521733,0.772,55.9322033898305,33,59,"Pyramidal",149.874625955517,3.7520581078924,0.184531714037992
"115",115,"Agfg2",0.0671773827230314,3.41328894210519,403.594216392657,0.301078618829227,0.222,30.5084745762712,18,59,"Pyramidal",5.27672341525713,0.570934642295162,0
"116",116,"Aggf1",0.0306135162249641,2.92541548534256,604.685988084821,3.39469811525366,0.328,32.2033898305085,19,59,"Pyramidal",109.584769553494,4.6810722699209,0
"117",117,"Ago4",0.0333160309268124,15.1006407975519,2923.67634621291,0.779515721495014,0.619,27.1186440677966,16,59,"Pyramidal",28.6901150563475,0.575510197295715,0
"118",118,"Ahctf1",0.0471999216222063,1.2548224678593,6350.90357105921,1.12861838683733,0.731,44.0677966101695,26,59,"Pyramidal",593.977277661707,22.9081372405357,0
"119",119,"Ahcyl1",0.0875159869985047,0.825825317102593,3159.69054861872,0.973315681814625,0.767,76.271186440678,45,59,"Pyramidal",393.97904491206,38.3092680981342,15.3086563835315
"120",120,"Ahcyl2",0.0519898661228271,0.62446650037174,1479.22429191859,0.968458809188179,0.743,55.9322033898305,33,59,"Pyramidal",214.573445368148,15.5905562805467,0.18178824428811
"121",121,"Aip",0.0924868675898332,17.6059035669129,219.491483596052,1.08632391049433,0.596,23.728813559322,14,59,"Pyramidal",6.21172181493162,4.12461063057942,0
"122",122,"Ak1",0.0530416655880228,1.52495447010287,167.633762309527,1.50805244373475,0.442,40.6779661016949,24,59,"Pyramidal",21.4227492683405,1.1123045298516,0
"123",123,"Akap1",0.0577862580648284,7.57902221769976,1572.91878199719,3.56562334716925,0.674,62.7118644067797,37,59,"Pyramidal",96.7346814366607,23.7875133369574,6.96103637842703
"124",124,"Akap8",0.0503904767855801,1.43852412323775,5701.21858633507,1.0386609062444,0.91,57.6271186440678,34,59,"Pyramidal",427.737897381058,14.7136832892725,0.775538932828703
"125",125,"Akap11",0.095657070770322,4.5900203683688,4703.96339576745,2.00323187344133,0.947,54.2372881355932,32,59,"Pyramidal",301.530674363941,9.90715476837661,0.20875782994122
"126",126,"Akap12",0.0346177948886702,242.087226913483,7852.93902210529,2.71314878129188,0.59,42.3728813559322,25,59,"Pyramidal",21.7684551499972,0.240424844120978,0
"127",127,"Akirin1",0.090690498842749,1.55423920773054,2145.78341009455,1.20501888477897,0.542,45.7627118644068,27,59,"Pyramidal",292.469263636858,30.636027433695,0
"128",128,"Akr1b8",0.119607268191777,2.12742184231494,45.2888858252572,0.960773663062009,0.576,55.9322033898305,33,59,"Pyramidal",4.64243524584584,0.624001434312985,0.199554722577329
